category,quote,sentiment
design,Super,positive
performance,Super,positive
design,I liked this one because of the color,positive
capabilities,it supports two SIM cards and there is a memory card,positive
performance,"For a couple of days, everything was flawless, I installed all the applications and nothing hangs",positive
display,"The screen is good, it is convenient to read and watch videos on YouTube",positive
connectivity,3.5 mm jack for headphones and micro USB for charging,positive
display,bright screen,positive
battery,normal battery,positive
design,beautiful,positive
memory,enough memory with a card,positive
display,big and bright screen,positive
battery life,holds the battery all day,positive
performance,It goes super fast,positive
camera,good camera,positive
design,super good quality price,positive
quality,Very good quality price ratio,positive
display,"large, easy-to-read screen",positive
usability,easy-to-use phone,positive
yield,more yield than I thought,positive
product performance,Super pleased,positive
build quality,good build quality,positive
communication sound,good communication sound,positive
design,I recommend,positive
performance,It works great,positive
sound quality,Most of the Vocals and Instrumental music gets distorted,negative
headphones,You need to buy Bluetooth headphones for good sound quality,positive
carrier compatibility,You cannot use this mobile with Jio sim,negative
speed,very slow there mobile phone system,negative
reliability,Real me is very poor mobile company,negative
phone,phone is good,positive
customer service,Airtel condition is irritate the customer,negative
display,Not good,negative
condition,bad,negative
functionality,not working properly,negative
design,Good,positive
performance,Good,positive
design,OK,positive
performance,OK,neutral
battery life,The charge lasts for a long time,positive
image quality,The image is clear,positive
sound quality,The sound is good,positive
design,"The style is modern, very beautiful",positive
camera,The only camera is only one main and one front,neutral
special features,There is no NFS,negative
design,the model is good,positive
performance,Worth the Price: yes,positive
customer service,The shop responds well and color requests are also according to orders,positive
design,Great design,positive
value for money,Great value for money,positive
comfort,Much more comfortable to hold,positive
setup,I immediately enter the menu,positive
condition,the condition of the cellphone is healthy and running normally,positive
design,orders come with a white line on each side of the screen,positive
display,then change to blue + green lines across the screen,positive
customer experience,I have the right to speak what i feel and get going forward,neutral
design,good,positive
performance,sorry bro,negative
customer service,thanks for the review,positive
value,it is been a long time,neutral
overall,Good Worth the Price,positive
affordable,AffordableSuitable for all walks of life,positive
language,a description in German,negative
price,cheap,positive
features,fewer sacrifices,positive
display,good screen,positive
battery,long-lasting battery,positive
usability,easy to use,positive
delivery,Order on Wednesday Saturday Arrived,positive
product design,"The product is also smooth, ORI",positive
arrival,The item arrived safely,positive
camera,so-so,negative
value for money,Good value for money,positive
bonuses,Lots of bonuses,positive
arrival,The goods have arrived,positive
performance,steady Custom,positive
durability,hope it lasts,neutral
bonuses,lots of bonuses,positive
packaging,safe packaging,positive
subscription,already subscribed,positive
originality,original sealed items,positive
general,. . .,positive
performance,. . .,positive
overall satisfaction,Always Satisfied,positive
recommendation,Recommended Shop,positive
low prices,special items Low prices,positive
price,worth it,positive
mntep,slbeworth,positive
packaging,Original goods,positive
arrival,Items arrived safely,positive
customer service,genuine and not deceptive,positive
packaging,wrong receipt,negative
responsibility,on responsibility,positive
delivery,Original fast delivery,positive
product quality,basically everything is ok,positive
value,Worth the Price,neutral
design,good good stuff original,positive
category,basic phone,positive
specifications,do not require strong specifications,negative
originality,the goods do not arrive according to the order,positive
bonus,the complete bonus,positive
category,good,positive
best features,ok,neutral
delivery,fast delivery,positive
authenticity,real picture,positive
delivery time,just one day fast,positive
quality,already checked safe,positive
age range,12 year old,positive
grandson,very happy,positive
packaging,Packing is very safe and very neat.,positive
delivery,Pretty fast delivery.,positive
price,And the price is cheaper than other stores.,positive
customer service,fast delivery,positive
product quality,Original quality,positive
admin responsiveness,friendly and responsive,positive
worth the price,worth it,positive
good,good,positive
delivery,the delivery is also on schedule,positive
product quality,"the goods have arrived and are safe, there are no defects whatsoever",positive
customer service,the seller is also easy to chat with,positive
packaging,the packaging is neat,positive
general,Everything is fine,positive
performance,it does its job,neutral
packaging,Original product neat packaging,positive
capacity,for sd children,positive
age range,more than enough,positive
price,Great phone for this price.,positive
,,
description,Goods according to the description,positive
delivery,Nice,positive
bonus,complete,positive
design,Great,positive
performance,,neutral
shipping,arrived according to the order,positive
estimate,arrived one day,positive
seller,Recommended seller,positive
next purchase,next time we will buy again sis,positive
general,I recommend!,positive
mom,happy,positive
,,
customer service,fast response and friendly,positive
packaging,safe packing,positive
delivery,arrived safely,positive
overall quality,Very good,positive
performance,Highly recommended,positive
design,Suitable for real pict,positive
performance,thanks to the seller,positive
design,Consistent with the description,positive
performance,Performs well,positive
delivery,Never received the item from the retailer,negative
compliment,You are still very cool,positive
none,,none
shipping,quickly and safely,positive
contents,satisfactory,positive
reordering,can order again,positive
materials,The cloak.,positive
design,😍,positive
design,turn,positive
design,Great bro,positive
performance,,none
design,👍👍👍,positive
performance,👍👍👍,positive
