category,quote,sentiment
performance,Good,positive
value for money,Better than Local Seller,positive
shipping,Fast and replies swiftly about concerns,positive
bloatware,Lots of bloatware inside,negative
battery management,Aggressive,neutral
google apps,Limitations,negative
connectivity,cannot connect to car media,negative
gps,cannot project GPS on screen,negative
design and build quality,Very nice phone with exceptional built quality,positive
included accessories,Include 67W charger and free earphone,positive
software,"Google playstore not pre-installed, need to self install",neutral
performance,Excellent,positive
quality,Excellent,positive
customer service,"Thank you so much, i totally love it.",positive
quality,Good quality,positive
performance,smooth and good performance,positive
seller,"Good seller, very responsive and very good product",positive
performance,Good,positive
features,Great sound,positive
value for money,Yes,positive
customer service,Seller very accommodating & receptive,positive
packaging,Package is very satisfactory & delivered in protective wrapping,positive
gifts,Seller also gave free gifts which I am very happy about!,positive
value for money,Good,positive
performance,Haven try,neutral
delivery,Received as per informed date,positive
performance,GoodValue For Money,positive
camera,Hyper charging,positive
processor,Item received in good condition,neutral
performance,Excellent,positive
features,Cameras,positive
value for money,Yes,positive
camera,Amazing camera,positive
charging speed,Ultra fast charging speed,positive
zoom lens,Zoom lense details could be better,negative
packaging,Received in good condition,positive
functionality,Will be testing the phone later,neutral
quality,good,positive
performance,good,positive
self collect,cannot wait any longer,positive
delivery,took a while since it is preorder,neutral
size,Handphone size is just nice for my hand,positive
seller,Seller is nice and friendly,positive
delivery,not tampered,positive
performance,still performing well,positive
camera,Simply the best camera phone,positive
quality,Leading tech,positive
components,The finest components,positive
camera,Pros: Camera,positive
virus protection,Cons: Virus protection is not good enough,negative
packaging,well packing,positive
product,bracelet,positive
customer service,"Great service, pls keep it up!",positive
quality,original xiaomi,positive
performance,Snapdragon 8 gen 2 paduTQ,positive
bonus,seller bnyk BG free gift,positive
performance,Overall okay,neutral
quality,"Genuine, Trusted seller",positive
seller,"Seller fast response, easy to communicate",positive
performance,Very smooth,positive
gps,Google play and map works well,positive
delivery,took quite a while,positive
color,baby blue,positive
love,Love it!,positive
price,lower price,positive
service,very satisfied with service,positive
gifts,free gifts,positive
category,Value For Money,positive
category,Performance,good
best feature,camera,positive
quality,excellent,positive
performance,Excellent,positive
seller,Fast response and shipping,positive
customer service,She will step by step help me how to setup the phone.,positive
packaging,Received in good condition,positive
gifts,Received great free gifts,positive
performance,Satisfied,positive
quality,As listed and complies,positive
customer service,They are really patient!,positive
packaging,wrapped nicely,positive
gift,come with free gift,positive
performance,Test on. successfully,positive
performance,goodQuality,positive
backup,easy to back up from Google drive,positive
performance,fast and responsive,positive
value for money,yes,positive
nice,nice,positive
performance,so far so good,positive
delivery,delayed by 2 days,neutral
delivery,Received in good condition.,positive
performance,Fast delivery. 8gen1 very fast and smooth.,positive
battery life,I love fast charging.,positive
delivery,Genuine product n fast delivery.,positive
design,Good,positive
performance,Good,positive
shipping,received within 3days after order,positive
,,
delivery,Fast delivery,positive
condition,Received in good condition,positive
ordering,"Order received, completed.",positive
design,The design is sleek and modern,positive
performance,It performs well and is very fast,positive
usability,It's easy to use and navigate,positive
delivery,fast delivery,positive
product features,Not yet try,neutral
design and build,loads quickly,positive
performance,updates apps quickly,positive
reliability,reliable in every situation,positive
camera,best settings depending on the situation,neutral
design,"It has no analogues on the market with such parameters, at least for the time being.",positive
camera,"Cameras are crazy, plus there are so many modes that you will master for a week.",positive
memory and processor,Not all gaming smartphones have this. I did not expect that they would add wireless and reverse charging.,neutral
battery and charging,"And so this smartphone should be put on 5, and only 100 points.",positive
warranty,I definitely consult the seller,positive
performance,"as expertise 12/256, I think I ordered wrong",neutral
quality,good,positive
customer service,Seller fast response and good service,positive
display,screen is of a brutal definition,positive
battery,battery with normal use lasts me two days,positive
sound,good sound,positive
camera,Leica cameras to match,positive
zoom,up to 100x,positive
photo mode,now it only goes up to 70x,negative
design,The phone is beautiful,positive
camera,"the photos, which is why I bought it, are very cool",positive
compatibility,synchronization with my xiaomi note 10 has not worked as well as expected on 2 devices of the same brand,negative
pre-installed apps,a lot of google 'trash' to remove,negative
parallel applications,parallel application available for many applications,positive
dual sim support,great advantage especially for users of two sim cards,positive
quality,comparable to the previous Huawei p series Pro models and the same quality,positive
appearance,Very pretty in white,positive
durability,I think it will last me at least 2-3 years,positive
husband's opinion,My husband loves it too and is considering getting one for himself,positive
camera,The camera is quite normal and does not stand out at all despite being Leica,negative
processor,Fast processor,positive
battery,It can last 24 hours without charging or more (depending on use),positive
speed,Extremely fast,positive
weight,Wish it was lighter,negative
battery life,And the battery would last longer,negative
price,"And of course, I would like it to be cheaper",negative
performance,brilliant,positive
quality,the best,positive
shipping,24 hours to Penang- Kelantan,positive
trust,3rd time buying with this seller,positive
camera,Beautiful camera,positive
chip,Snapdragon 2nd gen chip,positive
original rom,Using the original rom is still ok,neutral
camera,Very good camera,positive
performance,Very powerful phone,positive
charging,Recharges very very very quickly,positive
product quality,good,positive
true to description,exactly the model I ordered,positive
packing and delivery,shop packed and delivered very quickly,positive
connectivity,USB 2 instead of 3,negative
design,small tick,positive
design,a very beautiful design,positive
performance,very fast and fluid,positive
camera,incredible pictures,positive
hardware,"Charger not European, but Chinese",negative
software,Global Rom will be installed,positive
battery life,very long battery life,positive
camera,very good camera,positive
overall,Best smartphone I have had,positive
camera,world class,positive
performance,sensational,positive
design,missing a she will in the box thing,negative
performance,"top photo, top fast charging, fast",positive
display,much better screen,positive
camera,really good camera,positive
battery,battery time is about the same as the iphone,neutral
charging,fast charger at 120w,positive
design,good phone even if it is quite heavy,positive
display,the touchscreen lacks responsiveness,negative
security,the fingerprint recognition is not as good as on my old Xiaomi redmi note 10 pro,negative
design,elegance,positive
performance,fast,positive
camera,camera,positive
display,brightness,positive
functionality,functionality,positive
battery,battery,negative
quality,nice,positive
performance,"so far it is okay for the first time to use flagship, hope it is ok",neutral
performance,great,positive
quality,great,positive
all,great except MiUI,neutral
design,great phone,positive
camera,great camera,positive
battery life,long battery life,positive
display,nice screen,positive
 brand,Xiaomi,positive
 performance,much better than Samsung and iPhone,positive
display,I have the note20 ultra as a predecessor,negative
performance,But rather the S23 ultra,positive
design,Excellent,positive
performance,If I have to say 1 defect,neutral
charging time,A full charge in 20 minutes,positive
comparison to samsung,head and shoulders above any Samsung,positive
packaging,carefully packed,positive
quality,good quality,positive
shipping,enthusiastic shipper,positive
performance,good,positive
quality,good,positive
seller,fast for help,positive
overall performance,Excellent cameraphon,positive
recommendation,I recommend the purchase,positive
camera,the camera is very good,positive
phone,Great phone from Xiaomi,positive
design,The product is the same as the picture,positive
delivery,fast delivery,positive
charging,it only takes a little longer to charge,positive
delivery,very good & quick,positive
originality,100% ORIGINAL,positive
warranty,2 WARRANTY from XIAOMI MALAYSIA,positive
overall,I am very happy with my purchase,positive
quality,I am very happy with my purchase,positive
delivery,fast delivery,positive
product quality,ok,neutral
delivery,Good deliver,positive
customer service,Fast and friendly,positive
return policy,I have send back,negative
expensive,very expensive,negative
camera,The camera,positive
phone,a good phone,positive
design,As expected,positive
performance,As expected,positive
display,Crazy smartphone,positive
performance,Lightning fast,positive
camera,Takes amazing pictures,positive
performance,The phone works fine,positive
none,,none
design,great,positive
performance,,neutral
design,The design is sleek and modern,positive
performance,It performs well and is very fast,positive
ease of use,It's easy to use and navigate,positive
design,The phone is 🔥🔥🔥,positive
performance,,not mentioned
